"Stamps on Colnect","List exported on 2022-05-09 17:54:24 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/collectors/collector/EddieM
"This list contains 2 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/225-United_States_of_America/year/2015/emission/4-ATM_Labels


Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link
"Flannery O’Connor","United States of America","Literary Arts","Mi:US 5182BB, Sn:US 5003a",2015-06-05,,40,25,,Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value","Three Ounce",56158,48574,,,,552154,91.32,Low,Multicolor,,,"Famous People,Authors,Literature,Women,Literary People (Poets and Writers)",,https://colnect.com/stamps/stamp/715608
"U.S. Coast Guard 2015","United States of America","U.S. Coast Guard","Mi:US 5187BA, Sn:US 5008, Yt:US 4827, Sg:US 5616, WAD:US060.15",2015-08-04,,39.6,24.9,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56148,48565,39538,39780,,568152,50.88,High,Multicolor,,,"Ships,Helicopters,Aviation,National Guards","Initial value: 49 c",https://colnect.com/stamps/stamp/568152
"U.S. Coast Guard 2015","United States of America","U.S. Coast Guard","Mi:US 5187BB, Sn:US 5008a",2015-08-04,,40,25,"No Watermark",Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56147,48564,,,,568152,88.26,Low,Multicolor,,,"Ships,Helicopters,Aviation,National Guards",,https://colnect.com/stamps/stamp/715611
"Elvis Presley","United States of America","Music Icons","Mi:US 5188BA, Sn:US 5009, Yt:US 4830, Sg:US 5617, WAD:US061.15",2015-08-12,,31.1,31.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56146,48563,39535,39779,,568153,30.95,High,Multicolor,,,"Famous People,Music,Actors,Composers,Singers,Musicians,Entertainers,Elvis Presley","Initial value: 49 c",https://colnect.com/stamps/stamp/568153
"Elvis Presley","United States of America","Music Icons","Mi:US 5188BAKB, WAD:US061MS.15",2015-08-12,,,,,"Mini Sheet",Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",16*FOREVER,56145,,,,,,69.85,"Very Low",Multicolor,,,"Famous People,Music,Actors,Composers,Singers,Musicians,Entertainers,Elvis Presley",,https://colnect.com/stamps/stamp/908324
"Elvis Presley","United States of America","Music Icons","Mi:US 5188BB, Sn:US 5009a",2015-08-12,,31,31,"No Watermark",Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56144,48562,,,,568153,83.69,Medium,Multicolor,,,"Famous People,Music,Actors,Composers,Singers,Musicians,Entertainers,Elvis Presley","Initial value: 49 c",https://colnect.com/stamps/stamp/715612
"Ingrid Bergman (1915-1982)","United States of America","Legends of Hollywood","Mi:US 5189BA, Sn:US 5012, Yt:US 4831, Sg:US 5620, WAD:US064.15",2015-08-20,,24.9,39.6,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56143,48557,39534,39775,,568154,49.57,High,Multicolor,,,"Famous People,Actors,Women","Initial value: 49 c",https://colnect.com/stamps/stamp/568154
"Ingrid Bergman (1915-1982)","United States of America","Legends of Hollywood","Mi:US 5189BB, Sn:US 5012a",2015-08-20,,25,40,"No Watermark",Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56142,48556,,,,568154,90.05,Low,Multicolor,,,"Famous People,Actors,Women","Postwert zum Ausgabezeitpunkt: 49 c",https://colnect.com/stamps/stamp/715615
"World Stamp Show-NY 2016 - Red","United States of America","World Stamp Show-NY 2016","Mi:US 5190BA, Sn:US 5010, Yt:US 4828, Sg:US 5618, WAD:US063.15",2015-08-20,,24.9,39.6,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56141,48561,39537,39778,,,60.09,Medium,Red,,,"Philatelic Exhibitions,Philately","Initial value: 49 c",https://colnect.com/stamps/stamp/568155
"World Stamp Show-NY 2016","United States of America","World Stamp Show-NY 2016","Mi:US 5190BA-5191BA, Sn:US 5011a, Sg:US 5618-5619",2015-08-20,,,,,Se-tenant,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",2*FOREVER,56140,48559,,39777,,715613,79.68,Low,"Red,Blue",,,"Philatelic Exhibitions,Philately","Se-tenant pair",https://colnect.com/stamps/stamp/715613
"World Stamp Show-NY 2016","United States of America","World Stamp Show-NY 2016","Mi:US 5190BB-5191BB, Sn:US 5011b",2015-08-20,,,,,Se-tenant,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",2*FOREVER,56139,48558,,,,715613,91.15,Low,"Red,Blue",,,"Philatelic Exhibitions,Philately","Imperforate se-tenant pair",https://colnect.com/stamps/stamp/715614
"World Stamp Show-NY 2016 - Blue","United States of America","World Stamp Show-NY 2016","Mi:US 5191BA, Sn:US 5011, Yt:US 4829, Sg:US 5619, WAD:US062.15",2015-08-20,,24.9,39.6,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56138,48560,39536,39776,,,65.27,Medium,Blue,,,"Philatelic Exhibitions,Philately","Initial value: 49 c",https://colnect.com/stamps/stamp/568156
"Neon Celebrate! 2015","United States of America",,"Mi:US 5198, Sn:US 5019, Yt:US 4832, Sg:US 5627, WAD:US065.15",2015-09-09,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56130,48547,39533,39767,,,25.76,High,Multicolor,,,"Feasts,Greetings","Initial value: 49 c  inscription and fireworks glows under UV light",https://colnect.com/stamps/stamp/568163
"Paul Newman","United States of America","Paul Newman","Mi:US 5199BA, Sn:US 5020, Yt:US 4833, Sg:US 5628, WAD:US066.15",2015-09-18,,24.9,39.6,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56129,48546,39532,39766,,568164,59.77,High,Multicolor,,,"Famous People,Actors,Men","Initial value: 49 c",https://colnect.com/stamps/stamp/568164
"Paul Newman","United States of America","Paul Newman","Mi:US 5199BB, Sn:US 5020a",2015-09-18,,25,40,"No Watermark",Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56128,48545,,,,568164,91.61,Low,Multicolor,,,"Famous People,Actors,Men","Postwert zum Ausgabezeitpunkt: 49 c",https://colnect.com/stamps/stamp/715807
"Charlie Brown Christmas","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5200-5209, Sn:US 5030a, Sg:US 5629-5638",2015-10-01,,,,"No Watermark",Se-tenant,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",10*FOREVER,56127,48534,,39764,,715808,87.03,Low,Multicolor,,,"Trees,Christmas,Dogs,Cartoons,Comics,Snow,Snowmen,Mailboxes","Block of 10",https://colnect.com/stamps/stamp/715808
"Charlie Brown Christmas","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5200BB-5209B, Sn:US 5030c",2015-10-01,,,,"No Watermark",Se-tenant,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",10*FOREVER,56126,48532,,,,715808,93.36,Low,Multicolor,,,"Trees,Christmas,Dogs,Cartoons,Comics,Snow,Snowmen,Mailboxes","Imperforate block of 10",https://colnect.com/stamps/stamp/715809
"Charlie Brown with sapling","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5200BE, Sn:US 5021, Yt:US 4834, Sg:US 5629, WAD:US067.15",2015-10-01,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56125,48544,39531,39765,,568165,58.7,High,Multicolor,,,"Christmas,Cartoons,Comics,Snow","Initial value: 47 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568165
"Charlie Brown with sapling","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5200BElu",2015-10-01,,,,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56124,,,,,568165,66.35,Medium,Multicolor,,,"Christmas,Cartoons,Comics,Snow","Bottom and left sides imperf.",https://colnect.com/stamps/stamp/676874
"Charlie Brown and Pigpen","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5201BE, Sn:US 5022, Yt:US 4835, Sg:US 5630, WAD:US068.15",2015-10-01,,30.2,23.1,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56123,48543,39530,39763,,,53.47,High,Multicolor,,,"Christmas,Cartoons,Comics,Snow,Snowmen","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568166
"Snoopy and children ice skating","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5202BE, Sn:US 5023, Yt:US 4836, Sg:US 5631, WAD:US069.15",2015-10-01,,31,24,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56122,48542,39529,39762,,,55.39,High,Multicolor,,,"Christmas,Dogs,Cartoons,Comics,Snow","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568167
"Children singing around the tree","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5203BE, Sn:US 5024, Yt:US 4837, Sg:US 5632, WAD:US070.15",2015-10-01,,31,24,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56121,48541,39528,39761,,,56.88,High,Multicolor,,,"Trees,Christmas,Dogs,Cartoons,Comics,Snow","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568168
"Linus by a tree","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5204BD, Sn:US 5025, Yt:US 4838, Sg:US 5633, WAD:US071.15",2015-10-01,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56120,48540,39527,39760,,,51.6,High,Multicolor,,,"Trees,Christmas,Cartoons,Comics,Snow","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568169
"Charlie Brown checking his mailbox","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5205BD, Sn:US 5026, Yt:US 4839, Sg:US 5634, WAD:US072.15",2015-10-01,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56119,48539,39526,39759,,,53.16,High,Multicolor,,,"Christmas,Cartoons,Comics,Snow,Mailboxes","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568170
"Charlie Brown and Linus by a wall","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5206BD, Sn:US 5027, Yt:US 4840, Sg:US 5635, WAD:US073.15",2015-10-01,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56118,48538,39525,39758,,,51.2,High,Multicolor,,,"Christmas,Cartoons,Comics,Snow,Walls","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568171
"Charlie Brown and Linus by a tree","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5207BD, Sn:US 5028, Yt:US 4841, Sg:US 5636, WAD:US074.15",2015-10-01,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56117,48537,39524,39757,,,50.66,High,Multicolor,,,"Trees,Christmas,Cartoons,Comics,Snow","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568172
"Charlie Brown frustrated","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5208BD, Sn:US 5029, Yt:US 4842, Sg:US 5637, WAD:US075.15",2015-10-01,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56116,48536,39523,39756,,,55.36,High,Multicolor,,,"Christmas,Dogs,Cartoons,Comics,Snow","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568173
"Charlie Brown decorating tree","United States of America","Christmas 2015 - Charlie Brown","Mi:US 5209BD, Sn:US 5030, Yt:US 4843, Sg:US 5638, WAD:US076.15",2015-10-01,,30.2,23.1,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56115,48535,39522,39755,,,53.57,High,Multicolor,,,"Trees,Christmas,Cartoons,Comics,Snow","Initial value: 49 c - Serpentine Die Cut 10¾ on 2 or 3 sides",https://colnect.com/stamps/stamp/568174
"Geometric Snowflakes","United States of America","Geometric Snowflakes","Mi:US 5210BB-5213BB, Sn:US 5034c",2015-10-23,,,,"No Watermark",Se-tenant,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",4*FOREVER,56114,48524,,,,715810,85.39,Low,Multicolor,,,Snow,"Imperforate block of 4",https://colnect.com/stamps/stamp/715811
"Geometric Snowflakes - Purple","United States of America","Geometric Snowflakes","Mi:US 5210BD, Sn:US 5031, Sg:US 5639, WAD:US077.15",2015-10-23,,22.1,24.9,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56113,48530,,39754,,,47.22,High,Multicolor,,,Snow,"Initial value: 49 c",https://colnect.com/stamps/stamp/568176
"Geometric Snowflakes","United States of America","Geometric Snowflakes","Mi:US 5210BD-5213BD, Sn:US 5034a, Sg:US 5639-5642",2015-10-23,,,,"No Watermark",Se-tenant,Commemorative,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",4*FOREVER,56112,48526,,39753,,715810,84.07,Low,Multicolor,,,Snow,"Block of 4",https://colnect.com/stamps/stamp/715810
"Charlie Brown Christmas","United States of America","Christmas 2015 - Charlie Brown","Mi:US MH195, Sn:US 5030b, Yt:US C4834",2015-10-01,,145.8,60.3,"No Watermark",Booklet,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,54979,48533,38705,,,715808,79.4,Medium,Multicolor,,,"Trees,Christmas,Dogs,Cartoons,Comics,Snow,Snowmen,Mailboxes","Booklet pane of 20",https://colnect.com/stamps/stamp/568175
"Medal of Honor 2015","United States of America","Medal of Honor","Sn:US 4988b",2015-05-25,,75,40,"No Watermark",Se-tenant,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",3*FOREVER,,48596,,,,568142,89.1,Low,Multicolor,,,"Medals and Marks of Honour,Army","Imperforate strip of 3",https://colnect.com/stamps/stamp/715621
"Ingrid Bergman (1915-1982)","United States of America","Legends of Hollywood","Sn:US 5012SH",2015-08-20,,,,,"Mini Sheet",Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48555,,,,,,,Multicolor,,,"Famous People,Movies,Actors,Women",,https://colnect.com/stamps/stamp/1217882
"Charlie Brown Christmas","United States of America","Christmas 2015 - Charlie Brown","Sn:US 5030d",2015-10-01,,,,"No Watermark","Booklet Pane",Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48531,,,,715808,93.63,Low,Multicolor,,,"Trees,Christmas,Dogs,Cartoons,Comics,Snow,Snowmen,Mailboxes","Imperforate booklet pane of 20",https://colnect.com/stamps/stamp/715814
"Geometric Snowflakes","United States of America","Geometric Snowflakes","Sn:US 5034b",2015-10-23,,,,"No Watermark","Booklet Pane",Commemorative,"Serpentine Die Cut<i> 10¾ x 11¼</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48525,,,,715810,92.4,Low,Multicolor,,,Snow,"Block of 20",https://colnect.com/stamps/stamp/715815
"Geometric Snowflakes","United States of America","Geometric Snowflakes","Sn:US 5034d",2015-10-23,,,,"No Watermark","Booklet Pane",Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,,48523,,,,715810,90.67,Low,Multicolor,,,Snow,"Imperforate block of 20",https://colnect.com/stamps/stamp/715816
"Bobcat (Lynx rufus)","United States of America","Fauna (2012-2015)","Mi:US 4853II, Sn:US 4672a, Yt:US 4778, Sg:US 5576, WAD:US010.15",2015-02-20,,22,26,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10</i>","Offset lithography",,Self-Adhesive,"¢ - United States cent",1,56801,49212,39594,39824,,383232,42.8,High,Multicolor,,,"Mammals,Lynx,Animals (Fauna),Wild Cats","Serpentine Die Cut 10 vertical  Dated 2015",https://colnect.com/stamps/stamp/525655
"Fortune’s Holly Fern (Cyrtomium fortunei)","United States of America",Ferns,"Mi:US 5059II, Sn:US 4977, Yt:US 4798, WAD:US027.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56407,48623,39573,,,483728,85.59,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the end of the upper left fern branch  Initial value 49c",https://colnect.com/stamps/stamp/552130
Ferns,"United States of America",Ferns,"Mi:US 5059II-5063II, Sn:US 4977b",2015-03-27,,,,"No Watermark",Se-tenant,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",5*FOREVER,56406,48621,,,,715195,88.42,Low,Multicolor,,,"Plants (Flora),Ferns","Strip of 5 Dated 2014 Microprinted USPS",https://colnect.com/stamps/stamp/715542
"Fortune’s Holly Fern (Cyrtomium fortunei)","United States of America",Ferns,"Mi:US 5059III, Sn:US 4977a, Yt:US 4803, Sg:US 5589",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56405,48622,39568,39808,,483728,85.87,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the end of the upper left fern branch  Initial value 49c",https://colnect.com/stamps/stamp/552131
Ferns,"United States of America",Ferns,"Mi:US 5059III-5063III, Sn:US 4977c, Sg:US 5589-5593",2015-03-27,,,,"No Watermark",Se-tenant,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",5*FOREVER,56404,48620,,39807,,715195,88.26,Low,Multicolor,,,"Plants (Flora),Ferns","Strip of 5 Dated 2015 Microprinted USPS",https://colnect.com/stamps/stamp/715543
"Soft Shield Fern (Polystichum setiferum)","United States of America",Ferns,"Mi:US 5060II, Sn:US 4973, Yt:US 4799, WAD:US023.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56402,48631,39572,,,483729,85.24,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552132
"Soft Shield Fern (Polystichum setiferum)","United States of America",Ferns,"Mi:US 5060III, Sn:US 4973a, Yt:US 4804, Sg:US 5590",2015-03-27,,,,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56401,48630,39567,39806,,483729,87.44,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552133
"Autumn Fern (Dryopteris erythrosora)","United States of America",Ferns,"Mi:US 5061II, Sn:US 4974, Yt:US 4800, WAD:US024.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56399,48629,39571,,,483730,83.47,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552134
"Autumn Fern (Dryopteris erythrosora)","United States of America",Ferns,"Mi:US 5061III, Sn:US 4974a, Yt:US 4805, Sg:US 5591",2015-03-27,,,,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56398,48628,39566,39805,,483730,87.15,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552135
"Goldie's Wood Fern (Dryopteris goldiana)","United States of America",Ferns,"Mi:US 5062II, Sn:US 4975, Yt:US 4801, WAD:US025.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56396,48627,39570,,,483731,84.54,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552136
"Goldie's Wood Fern (Dryopteris goldiana)","United States of America",Ferns,"Mi:US 5062III, Sn:US 4975a, Yt:US 4806, Sg:US 5592",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56395,48626,39565,39804,,483731,87.5,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552137
"Painted Fern (Athyrium niponicum)","United States of America",Ferns,"Mi:US 5063II, Sn:US 4976, Yt:US 4802, WAD:US026.15",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56393,48625,39569,,,483732,87.18,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2014  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552138
"Painted Fern (Athyrium niponicum)","United States of America",Ferns,"Mi:US 5063III, Sn:US 4976a, Yt:US 4807, Sg:US 5593",2015-03-27,,22,24.5,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 11 </i>Vertical","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56392,48624,39564,39803,,483732,87.35,Medium,Multicolor,,,"Plants (Flora),Ferns","Dated 2015  Microprinted USPS near the base of the fern's stem  Initial value 49c",https://colnect.com/stamps/stamp/552139
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5142BA, Sn:US 4953, Yt:US 4774, Sg:US 5568, WAD:US002.15",2015-01-12,,37,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"$ - United States dollar",1,56236,48668,39598,39833,,525648,17.52,"Very High",Multicolor,,,"Numbers,Letters (Alphabet)",,https://colnect.com/stamps/stamp/525648
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5142BB, Sn:US 4953a",2015-01-12,,,,"No Watermark",Stamp,Definitive,Imperforate,"Offset lithography",,Self-Adhesive,"$ - United States dollar",1,56235,48667,,,,525648,74.03,Medium,Multicolor,,,"Numbers,Letters (Alphabet)",,https://colnect.com/stamps/stamp/715457
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5143BA, Sn:US 4954, Yt:US 4777, Sg:US 5571, WAD:US005.15",2015-01-30,,40,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"$ - United States dollar",2,56234,48666,39595,39829,,525649,50.66,High,Multicolor,,,"Geometric Shapes",,https://colnect.com/stamps/stamp/525649
"Patriotic waves","United States of America","Patriotic waves","Mi:US 5143BB, Sn:US 4954a",2015-01-30,,,,"No Watermark",Stamp,Definitive,Imperforate,"Offset lithography",,Self-Adhesive,"$ - United States dollar",2,56233,48665,,,,525649,83.36,Medium,Multicolor,,,"Numbers,Letters (Alphabet)",,https://colnect.com/stamps/stamp/715458
"Stars & Stripes (left) Presort","United States of America","Stars & Stripes Presorted Rate (2015)","Mi:US 5150, Sn:US 4961, Yt:US PR109, Sg:US 5577, WAD:US011.15",2015-02-27,,23,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted Std",56220,48652,37781,39823,,,29.28,High,Multicolor,,,Flags,"Serpentine Die Cut 10¾ vertical  ""USA"" in red",https://colnect.com/stamps/stamp/552126
"Stars & Stripes Presort","United States of America","Stars & Stripes Presorted Rate (2015)","Mi:US 5150-5152, Sn:US 4963a, Sg:US 5577-5579",2015-02-27,,,,"No Watermark",Se-tenant,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","3*Presorted Std",56219,48648,,39822,,,73.03,Low,Multicolor,,,Flags,"Coil strip of 3",https://colnect.com/stamps/stamp/715441
"Stars & Stripes (middle) Presort","United States of America","Stars & Stripes Presorted Rate (2015)","Mi:US 5151, Sn:US 4962, Yt:US PR107, Sg:US 5578, WAD:US012.15",2015-02-27,,23,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted Std",56218,48651,37783,39821,,552127,30.93,High,Multicolor,,,Flags,"Serpentine Die Cut 10¾ vertical",https://colnect.com/stamps/stamp/552127
"Stars & Stripes (right) Presort","United States of America","Stars & Stripes Presorted Rate (2015)","Mi:US 5152, Sn:US 4963, Yt:US PR108, Sg:US 5579, WAD:US013.15",2015-02-27,,23,25,"No Watermark",Stamp,Definitive,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value","Presorted Std",56217,48649,37782,39820,,,32.09,High,Multicolor,,,Flags,"Serpentine Die Cut 10¾ vertical",https://colnect.com/stamps/stamp/552128
