"Stamps on Colnect","List exported on 2022-05-09 17:54:24 GMT+0"
"Launched by collector: ",EddieM
"Collector profile on Colnect at: ",https://colnect.com/collectors/collector/EddieM
"This list contains 2 Stamps"
"For the updated list on Colnect visit: ",https://colnect.com/en/stamps/list/country/225-United_States_of_America/year/2015/emission/4-ATM_Labels


Name,Country,Series,"Catalog Codes","Issued on","Expiry date",Width,Height,Watermark,Format,Emission,Perforation,Printing,Paper,Gum,Currency,FaceValue,"Ord Mi","Ord Sn","Ord Yt","Ord Sg","Print run",Variant,Score,Accuracy,Colors,ZstStampDesigner,ZstStampPrinter,Themes,Description,Link
"Robert Robinson Taylor","United States of America","Black Heritage Series","Mi:US 5147BA, Sn:US 4958, Yt:US 4772, Sg:US 5573, WAD:US007.15",2015-02-12,,25,40,"No Watermark",Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56226,48658,39600,39827,,525652,51.98,High,Multicolor,,,"Famous People,Architects,Men","nominal value 49c",https://colnect.com/stamps/stamp/525652
"Robert Robinson Taylor","United States of America","Black Heritage Series","Mi:US 5147BB, Sn:US 4958a",2015-02-12,,,,"No Watermark",Stamp,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56225,48657,,,,525652,94.55,Low,Multicolor,,,"Famous People,Architects,Men","nominal value 49c",https://colnect.com/stamps/stamp/715439
"Vintage rose","United States of America","Vintage Flowers","Mi:US 5148BA, Sn:US 4959, Yt:US 4779, Sg:US 5574, WAD:US008.15",2015-02-14,,25,32,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography and Recess",,Self-Adhesive,"º - No Face Value",FOREVER,56224,48656,39593,39826,,525657,29.91,High,Multicolor,,,"Flowers,Roses,Plants (Flora),Greetings,Hearts","nominal value 49c",https://colnect.com/stamps/stamp/525657
"Vintage rose","United States of America","Vintage Flowers","Mi:US 5148BB, Sn:US 4959a",2015-02-14,,,,,Stamp,Commemorative,Imperforate,"Offset lithography and Recess",,Self-Adhesive,"º - No Face Value",FOREVER,56223,48655,,,,525657,88.96,Medium,Multicolor,,,"Flowers,Roses,Plants (Flora),Greetings,Hearts","nominal value 49c",https://colnect.com/stamps/stamp/715440
"Vintage tulip","United States of America","Vintage Flowers","Mi:US 5149BA, Sn:US 4960, Yt:US 4780, Sg:US 5575",2015-02-14,,23.5,30,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography and Recess",,Self-Adhesive,"¢ - United States cent",70,56222,48654,39592,39825,,525656,56.36,High,Multicolor,,,"Flowers,Plants (Flora),Tulips,Greetings,Hearts",,https://colnect.com/stamps/stamp/525656
"Vintage tulip","United States of America","Vintage Flowers","Mi:US 5149BB, Sn:US 4960a",2015-02-14,,,,,Stamp,Commemorative,Imperforate,"Offset lithography and Recess",,Self-Adhesive,"¢ - United States cent",70,56221,48653,,,,525656,92.3,Low,Multicolor,,,"Flowers,Plants (Flora),Tulips,Greetings,Hearts",,https://colnect.com/stamps/stamp/715389
"Martin Ramirez: Flower","United States of America","Martin Ramirez","Mi:US 5157BA, Sn:US 4968, Yt:US 4785, Sg:US 5584, WAD:US019.15",2015-03-26,,31,31,,Stamp,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",FOREVER,56209,48639,39586,39814,,,70.25,Medium,Multicolor,,,Art,"Initial value: 49 c",https://colnect.com/stamps/stamp/552162
"Martin Ramirez","United States of America","Martin Ramirez","Mi:US 5157BA-5161BA, Sn:US 4972a, Sg:US 5584-5588",2015-03-26,,,,,Se-tenant,Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",5*FOREVER,56208,48633,,39813,,552161,78.93,Low,Multicolor,,,Art,"Vertical strip of 5",https://colnect.com/stamps/stamp/715540
"Martin Ramirez sheet","United States of America","Martin Ramirez","Mi:US 5157BA-5161BA FB, Sn:US 4968-4972, Yt:US F4785-4789",2015-03-26,,,,,"Mini Sheet",Commemorative,"Serpentine Die Cut<i> 10¾</i>","Offset lithography",,Self-Adhesive,"º - No Face Value",20*FOREVER,56207,48638,38470,,,552161,87.7,Low,Multicolor,,,Art,,https://colnect.com/stamps/stamp/552161
"Martin Ramirez","United States of America","Martin Ramirez","Mi:US 5157BB-5161BB, Sn:US 4972b",2015-03-26,,,,,Se-tenant,Commemorative,Imperforate,"Offset lithography",,Self-Adhesive,"º - No Face Value",5*FOREVER,56206,48632,,,,552161,91.64,Low,Multicolor,,,Art,"Imperforate strip of 5",https://colnect.com/stamps/stamp/715541
